"nuts2","year","TED","ted_im"
"FRK2",2019,22.9663008114638,22.9663008114638
"FRK2",2020,22.9200871529582,22.9200871529582
"FRL0",2009,20.8738334545432,20.8738334545432
"FRL0",2010,21.4469199276176,21.4469199276176
"FRL0",2011,21.4835927133193,21.4835927133193
"FRL0",2012,21.2159720056377,21.2159720056377
"FRL0",2013,21.0923020702003,21.0923020702003
"FRL0",2014,21.0961815682266,21.0961815682266
"FRL0",2015,NA,21.6358652074707
"FRL0",2016,20.74830873418,20.74830873418
"FRL0",2017,21.56292275887,21.56292275887
"FRL0",2018,22.0769343108036,22.0769343108036
"FRL0",2019,21.6660402642182,21.6660402642182
"FRL0",2020,22.7460839172355,22.7460839172355
"FRM0",2009,18.4496861757341,18.4496861757341
"FRM0",2010,18.2863899200615,18.2863899200615
"FRM0",2011,18.674626666635,18.674626666635
"FRM0",2012,18.0025975011668,18.0025975011668
"FRM0",2013,21.4387974200185,21.4387974200185
"FRM0",2014,18.216044599145,18.216044599145
"FRM0",2015,NA,18.4349790421707
"FRM0",2016,17.3157534845628,17.3157534845628
"FRM0",2017,19.1332620925141,19.1332620925141
"FRM0",2018,18.1961362888305,18.1961362888305
"FRM0",2019,17.8943333265032,17.8943333265032
"FRM0",2020,17.5633724240883,17.5633724240883
"FRY1",2009,19.1181406315081,19.1181406315081
"FRY1",2010,18.5750550284925,18.5750550284925
"FRY1",2011,18.7434940565255,18.7434940565255
"FRY1",2012,19.6462356641686,19.6462356641686
"FRY1",2013,19.2484537531295,19.2484537531295
"FRY1",2014,19.2916520935771,19.2916520935771
"FRY1",2015,NA,19.5055540624602
"FRY1",2016,18.5842648615758,18.5842648615758
"FRY1",2017,19.9722254873553,19.9722254873553
"FRY1",2018,20.180595817074,20.180595817074
"FRY1",2019,18.8450966745825,18.8450966745825
"FRY1",2020,18.8094758484113,18.8094758484113
"FRY2",2009,17.8811911686498,17.8811911686498
"FRY2",2010,18.509588722697,18.509588722697
"FRY2",2011,18.8383132828023,18.8383132828023
"FRY2",2012,19.1073073532692,19.1073073532692
"FRY2",2013,18.7861009476803,18.7861009476803
"FRY2",2014,17.9828467053286,17.9828467053286
"FRY2",2015,NA,18.147727068696
"FRY2",2016,17.4705540455794,17.4705540455794
"FRY2",2017,17.9152751114611,17.9152751114611
"FRY2",2018,18.555171543886,18.555171543886
"FRY2",2019,19.2277800791719,19.2277800791719
"FRY2",2020,18.2154894659475,18.2154894659475
"FRY3",2009,17.5914812406921,17.5914812406921
"FRY3",2010,18.4177040782756,18.4177040782756
"FRY3",2011,17.6604767463277,17.6604767463277
"FRY3",2012,19.5338820979556,19.5338820979556
"FRY3",2013,20.8547825459118,20.8547825459118
"FRY3",2014,18.5618791997001,18.5618791997001
"FRY3",2015,NA,18.463295303849
"FRY3",2016,18.372272173062,18.372272173062
"FRY3",2017,18.159168736121,18.159168736121
"FRY3",2018,17.7255833619852,17.7255833619852
"FRY3",2019,18.4962638999443,18.4962638999443
"FRY3",2020,17.8706447649928,17.8706447649928
"FRY4",2009,19.275707044363,19.275707044363
"FRY4",2010,19.5477965001339,19.5477965001339
"FRY4",2011,19.5939712908992,19.5939712908992
"FRY4",2012,19.6358156782894,19.6358156782894
"FRY4",2013,21.1945194207047,21.1945194207047
"FRY4",2014,20.4738957442209,20.4738957442209
"FRY4",2015,NA,20.5334866440907
"FRY4",2016,19.2995937581357,19.2995937581357
"FRY4",2017,19.9402510986258,19.9402510986258
"FRY4",2018,19.821645046812,19.821645046812
"FRY4",2019,20.4040864649767,20.4040864649767
"FRY4",2020,21.2474183674699,21.2474183674699
"FRY5",2009,15.9429353979086,15.9429353979086
"FRY5",2010,16.9354275547993,16.9354275547993
"FRY5",2011,16.763697447039,16.763697447039
"FRY5",2012,17.2170457698887,17.2170457698887
"FRY5",2013,16.9270976115063,16.9270976115063
"FRY5",2014,12.4047513583115,12.4047513583115
"FRY5",2015,NA,17.0261667922324
"FRY5",2016,17.3537369178113,17.3537369178113
"FRY5",2017,17.7601542497836,17.7601542497836
"FRY5",2018,17.5308865191113,17.5308865191113
"FRY5",2019,17.8882647309257,17.8882647309257
"FRY5",2020,18.6217041559936,18.6217041559936
"HR02",2009,NA,15.8774932960014
"HR02",2010,NA,16.0521083418621
"HR02",2011,NA,16.3713841625172
"HR02",2012,NA,16.7612695502635
"HR02",2013,14.6938611512794,14.6938611512794
"HR02",2014,18.8802740053691,18.8802740053691
"HR02",2015,NA,18.2465831148787
"HR02",2016,18.7692040111905,18.7692040111905
"HR02",2017,18.6936430109051,18.6936430109051
"HR02",2018,19.4433525598472,19.4433525598472
"HR02",2019,19.292030781177,19.292030781177
"HR02",2020,19.7055472962866,19.7055472962866
"HR03",2009,NA,16.8243352990457
"HR03",2010,NA,17.5934772647726
"HR03",2011,NA,17.9628761819103
"HR03",2012,NA,18.1050026441283
"HR03",2013,17.9252884027113,17.9252884027113
"HR03",2014,19.0668788626884,19.0668788626884
"HR03",2015,NA,19.0561407132224
"HR03",2016,19.61443047387,19.61443047387
"HR03",2017,20.689332118612,20.689332118612
"HR03",2018,19.7144985063001,19.7144985063001
"HR03",2019,20.1985265016344,20.1985265016344
"HR03",2020,20.2465009566383,20.2465009566383
"HR05",2009,NA,14.2810989246644
"HR05",2010,13.8234787276135,13.8234787276135
"HR05",2011,13.3522362360565,13.3522362360565
"HR05",2012,NA,16.0311477208952
"HR05",2013,19.4661137964358,19.4661137964358
"HR05",2014,21.4730739712105,21.4730739712105
"HR05",2015,NA,19.1789338152383
"HR05",2016,21.3533637198475,21.3533637198475
"HR05",2017,21.1861199657005,21.1861199657005
"HR05",2018,21.6351278027537,21.6351278027537
"HR05",2019,21.5506411907329,21.5506411907329
"HR05",2020,21.780763830778,21.780763830778
"HR06",2009,NA,14.3815984005742
"HR06",2010,NA,14.6236386579799
"HR06",2011,NA,14.5403181843482
"HR06",2012,NA,15.7370842938652
"HR06",2013,15.2299254788127,15.2299254788127
"HR06",2014,17.6057040139561,17.6057040139561
"HR06",2015,NA,16.9453997537893
"HR06",2016,17.6412550516097,17.6412550516097
"HR06",2017,18.5958984747165,18.5958984747165
"HR06",2018,17.9073750376559,17.9073750376559
"HR06",2019,19.2617101597134,19.2617101597134
"HR06",2020,19.0593297284885,19.0593297284885
"HU11",2009,21.7973498150917,21.7973498150917
"HU11",2010,21.4465858530792,21.4465858530792
"HU11",2011,21.7543241577662,21.7543241577662
"HU11",2012,22.3451201513613,22.3451201513613
"HU11",2013,22.5116404047088,22.5116404047088
"HU11",2014,22.2982234980229,22.2982234980229
"HU11",2015,NA,22.8267037999524
"HU11",2016,22.6068147628487,22.6068147628487
"HU11",2017,23.1044768522693,23.1044768522693
"HU11",2018,22.6177146757078,22.6177146757078
"HU11",2019,22.5926195442991,22.5926195442991
"HU11",2020,22.9876258148851,22.9876258148851
