"nuts2","year","flow_in","flow_out"
"UKI0",2001,41,65
"UKJ1",2001,301,532
"CZ01",2019,677,567
"DEB3",2020,56,48
"BE23",2018,592,514
"ITF4",2013,11,9
"SE12",2009,272,225
"ITF3",1992,6,13
"ITF4",1992,5,2
"FRK2",2019,624,578
"PT20",2015,8,5
"DE14",2015,70,70
"UKK4",2021,36,38
"DE91",2018,485,406
"SE11",2017,258,186
"NL32",2010,108,181
"DEE0",2014,32,36
"NL23",2018,8,9
"DED5",2018,85,90
"UKM7",2013,292,290
"DK04",2001,2,48
"SE11",2005,15,20
"SE12",2005,32,20
"CH03",2015,2401,1537
"UKH1",2004,133,246
"UKK1",2004,10,13
"PL91",2017,142,115
"PL41",2017,286,252
"NL11",2018,265,224
"BG41",2010,14,12
"PL91",2014,440,310
"SI04",2020,571,465
"PL71",2020,26,23
"PL82",2020,17,20
"SE12",2007,20,22
"SE11",2007,25,16
"UKG1",2019,549,756
"PL41",2004,48,49
"PL52",2004,97,48
"DED5",2020,467,456
