"receiver","year","count"
"FRK2","2006","73"
"EL65","2017","16"
"UKJ2","1998","15"
"SI04","2014","1309"
"PL72","2020","72"
"PL22","2018","139"
"UKD3","2017","862"
"FI1B","2004","41"
"DEG0","2016","1233"
"UKK4","2020","73"
"PT17","2021","31"
"FRE1","2010","30"
"UKC1","2019","89"
"ES51","2003","627"
"DEA2","2013","292"
"ITF1","2012","1918"
"SE12","2016","77"
"AT22","2019","51"
"NO07","2010","26"
"FRF3","2020","272"
"UKE3","2004","36"
"UKL1","1991","23"
"DED4","2020","14"
"ITH1","2000","3"
"ES23","2012","42"
"UKG1","1954","1"
"EL30","2016","190"
"FRK2","2017","179"
"UKJ1","2008","107"
"PL42","2006","7"
"NL41","1999","61"
"UKD7","2017","752"
"UKH3","1994","4"
"FI19","2015","63"
"NL32","1994","37"
"FRK2","2000","73"
"ITI1","2018","831"
"UKH1","1999","77"
"FR10","2009","293"
"SI04","2018","26"
"FRD2","2017","19"
"ITF4","2005","26"
"ES11","1999","7"
"FI19","2008","26"
"UKE3","2017","103"
"NL32","2013","77"
"FRJ1","2003","92"
"UKM5","2016","674"
"UKG2","2018","256"
"FRJ1","2006","242"
"FRK2","2015","132"
"ES51","1989","19"
"UKJ1","2012","75"
"UKI5","2009","152"
"ITF3","2014","21"
"UKJ4","2020","33"
"AT21","2011","10"
"DE25","2008","52"
"PL71","2012","209"
"NL32","2021","2116"
"CH05","2019","30"
"NL42","2020","46"
"UKG1","2013","131"
"DE25","2002","1"
"ITH1","2019","481"
"PL61","2014","261"
"FRJ1","2013","37"
"AT33","2018","1333"
"NO08","2009","72"
"UKD7","2016","214"
"DEC0","2021","70"
"UKK4","2013","39"
"BE33","2015","27"
"LU00","2013","154"
"UKD3","1991","57"
"DE11","2015","61"
"UKG1","2000","163"
"FI1B","2018","357"
"ITF3","2012","127"
"UKK4","2021","176"
"DE21","2013","136"
"DE40","2018","662"
"PL21","1998","3"
"UKF1","2003","24"
"SE21","1998","13"
"FRF3","2012","19"
"UKI5","1999","561"
"PL81","2020","35"
"NO08","2019","243"
"SE21","1996","12"
"CH03","2014","1463"
"SE12","2011","33"
"PT11","1991","29"
"SE21","2003","57"
"HR03","2013","13"
"FRF1","2007","109"
"FRG0","2018","43"
"PL51","2020","497"
"ES30","2000","49"
"UKD3","2021","102"
"UKK4","2019","398"
"CH02","2019","76"
"UKJ4","1998","8"
"FRI2","2013","8"
"NL32","2020","725"
"UKC2","2015","136"
"BG34","2004","2"
"DE72","2004","9"
"BE31","2014","37"
"EL30","2005","13"
"UKF3","2015","101"
"ES42","1991","34"
"PT17","2012","29"
"UKD6","1977","1"
"BE24","1999","266"
"ES43","2014","61"
"UKF1","1998","15"
"FRL0","2016","92"
"FI1D","2007","28"
"SE31","2020","75"
"ES21","2008","33"
"FRK1","2021","101"
"HU11","2018","796"
"DK04","2021","34"
"DE14","2015","70"
"PT16","2009","41"
"ITF4","2016","18"
"SE11","1992","22"
"CH01","2019","1134"
"DE23","2016","409"
"PL72","2010","26"
"PT16","1993","22"
"AT32","2020","73"
"SE22","1990","3"
"LU00","2015","23"
"ES30","2013","170"
"BE31","2003","35"
"NL41","2013","21"
"CH03","1995","19"
"UKE2","2002","17"
"ES30","2007","89"
"UKJ2","2011","74"
"DE50","2020","1514"
"UKG3","2017","144"
"UKM7","2009","193"
"SI04","2015","18"
"FRK2","2019","518"
"UKE4","1999","17"
"HU23","2005","36"
"FRI1","2011","77"
"ES22","1992","2"
"PL91","2015","48"
"PL41","2010","9"
"FRJ2","2014","82"
"DE92","2018","40"
"FRC2","2009","61"
"SE21","2001","73"
"UKK2","1987","1"
"ITF1","1997","3"
"CZ03","2018","324"
"UKM7","2012","46"
"BE10","2014","1887"
"DED2","2008","15"
"NO07","2019","109"
"CZ02","2019","14"
"ITC3","2015","23"
"DE30","2018","3111"
"CZ06","2020","101"
"UKK3","2014","8"
"BE22","2017","22"
"UKH1","2008","1111"
"UKL2","1999","41"
"RO12","2019","8"
"ITF4","2017","18"
"IE05","1992","2"
"ITF1","2013","8"
"DEA5","2012","55"
"ES41","2010","122"
"UKG1","2006","27"
"FRL0","2017","300"
"BE23","2021","128"
"FRK2","1990","13"
"DE13","1995","3"
"PL72","2017","153"
"ITH2","2021","19"
"DK01","1990","7"
"UKJ2","2021","3928"
"CH07","2019","21"
"CH04","2005","79"
"BE23","2001","16"
"BE33","2019","181"
"FRF1","2008","105"
"PL21","2014","57"
"ES51","1996","32"
"ES21","2017","49"
"NL42","2015","601"
"PL22","2019","1592"
"NL22","2002","8"
"ITF1","1986","2"
"UKG1","2014","243"
"UKJ3","2018","270"
"DED5","2017","2689"
"SE12","1996","43"
"UKJ3","2005","67"
"BG41","2018","93"
"ITH5","2004","12"
"FRE1","2020","409"
"CZ01","2018","304"
"PL82","2018","16"
"UKD6","2016","17"
"CH03","2019","272"
"ITH5","2018","73"
"DE71","2013","76"
"ES61","2012","72"
"UKG3","2007","19"
"DEA1","2018","63"
"BE21","2017","57"
"ITI4","2017","239"
"PL62","2018","25"
"UKE2","2017","308"
"UKL2","2020","58"
"ITC3","2016","673"
"PT18","2005","43"
"PL62","2012","31"
"DK02","2018","125"
"UKC2","2005","13"
"DK02","2020","14"
"UKJ4","2006","15"
"ITF3","1975","3"
"PT17","1995","4"
"CH04","1999","73"
"UKD4","2016","53"
"SE22","1989","19"
"DE13","2013","14"
"ITG1","2010","68"
"UKD7","2020","487"
