"sender","year","count"
"RO12","2013","21"
"NL32","1997","37"
"DE91","2017","351"
"PL51","2020","223"
"AT22","2021","111"
"PL63","2020","3998"
"AT13","2008","23"
"UKC2","2003","12"
"DE92","1996","28"
"DE60","2004","141"
"UKJ3","1999","79"
"UKL2","2021","547"
"MT00","2016","5"
"ES21","2020","66"
"UKM7","2017","1329"
"PT18","2010","6"
"MT00","2001","5"
"DE21","2016","258"
"FI1B","2014","56"
"CH04","2014","60"
"FRK2","2005","25"
"SE12","2004","20"
"FRF3","2016","26"
"RO32","2009","24"
"ES51","2017","169"
"UKK2","2017","201"
"NL32","2013","757"
"UKE4","2019","4417"
"UKI5","1994","74"
"PT16","2012","48"
"DED5","2017","201"
"RO32","2006","6"
"EL63","2017","23"
"UKK2","1998","3"
"ES61","2014","367"
"ITI4","2015","97"
"AT13","2004","51"
"DEE0","2016","204"
"PT16","2021","628"
"UKJ2","2014","110"
"FR10","2010","403"
"DE21","2013","102"
"DE91","2015","164"
"UKM7","2003","1016"
"UKG1","2018","856"
"ITF3","2012","127"
"MT00","2019","61"
"SE11","2016","209"
"AT13","2017","85"
"SE12","2010","2399"
"DE94","2020","239"
"ITF3","2009","43"
"BE33","2018","242"
"UKD3","2004","142"
"CH04","2013","2115"
"NL31","2019","103"
"UKF1","2017","76"
"UKC2","2012","36"
"ITC4","2000","23"
"DED4","2018","452"
"UKJ4","2017","162"
"ES22","2012","2132"
"UKG3","1954","1"
"NL11","2015","36"
"UKK1","2008","102"
"PL43","2006","15"
"UKM8","1999","31"
"FR10","2000","228"
"UKM8","2013","58"
"ES11","2009","25"
"UKE3","2014","346"
"DK04","2017","58"
"CH02","2007","64"
"NL33","2008","57"
"SE12","2017","208"
"BE24","2011","60"
"FI1C","2008","65"
"PT11","2016","639"
"BE24","2021","58"
"FRK2","2017","265"
"UKG1","2019","430"
"UKF3","2018","136"
"HU12","1989","1"
"CZ01","2014","145"
"DE60","2011","86"
"DE24","2008","3"
"PL21","2012","41"
"BG31","2018","7"
"PT11","2011","18"
"ITI4","2011","115"
"UKG3","2019","175"
"UKI5","2002","123"
"DK02","2010","40"
"FRF1","2013","337"
"EL30","2020","788"
"NO09","2009","23"
"DEE0","2015","45"
"DEA5","2016","59"
"UKE2","2015","47"
"DE73","2021","25"
"FRF3","2019","39"
"PT11","2013","38"
"PL51","1998","13"
"HU12","2017","152"
"ITF3","1998","65"
"UKJ2","2011","764"
"UKM7","1983","11"
"EL52","1999","5"
"IE05","2015","57"
"DED2","2019","139"
"DK02","2015","80"
"NL11","2019","1203"
"BE10","2014","107"
"UKM7","1999","783"
"ES11","1991","10"
"ITF3","2017","121"
"EL52","2015","87"
"FRE1","2006","10"
"DEA5","2020","91"
"ITC3","2017","276"
"PT16","2003","121"
"UKH1","1999","70"
"FR10","2009","501"
"HR06","2013","13"
"UKJ1","1995","162"
"FR10","2007","335"
"UKD7","2017","176"
"UKM5","2017","413"
"UKJ2","2010","36"
"NL33","2015","76"
"ES13","2000","5"
"UKE3","2021","48"
"UKJ2","1998","146"
"UKD3","2020","163"
"DEA5","2018","169"
"BG41","2004","10"
"ES52","2018","3296"
"FRL0","2011","28"
"CH04","2004","197"
"UKC1","2005","15"
"UKM7","2006","34"
"FRL0","2018","589"
"ES52","1991","3"
"NO06","2016","440"
"UKK1","2009","39"
"UKJ2","1977","3"
"ES23","2017","93"
