"year","country","ted_im"
2010,"PL",24.1203813357879
2011,"PL",24.1742021805124
2012,"PL",23.9708590808601
2013,"PL",24.0642590783896
2014,"PL",23.9386075182012
2015,"PL",24.1074084242516
2016,"PL",23.6766656231016
2017,"PL",23.9090952850882
2018,"PL",24.1888477945641
2019,"PL",24.2417430799168
2020,"PL",24.2393214164341
2009,"PT",22.253377413608
2010,"PT",22.5059828924342
2011,"PT",21.8087934768559
2012,"PT",21.1347298621568
2013,"PT",21.4253602578483
2014,"PT",21.2162025013532
2015,"PT",21.4196783760737
2016,"PT",21.5193836737893
2017,"PT",21.4482934795652
2018,"PT",21.7328875536773
2019,"PT",21.8923956641661
2020,"PT",22.2638453725723
2009,"RO",22.6457545960612
2010,"RO",22.631014349409
2011,"RO",23.0730951483494
2012,"RO",22.826413595321
2013,"RO",22.7135654653816
2014,"RO",22.8700331232498
2015,"RO",23.1143986641316
2016,"RO",22.5026272933781
2017,"RO",22.7349137442058
2018,"RO",22.9826416426478
2019,"RO",23.9396230959125
2020,"RO",24.4449682859115
2009,"SE",22.4897135590573
2010,"SE",22.5333945554004
2011,"SE",22.2658758408006
2012,"SE",22.2890181764805
2013,"SE",21.6526839959246
2014,"SE",21.2567942266147
2015,"SE",22.5695148645982
2016,"SE",22.8443299547627
2017,"SE",22.8826094835922
2018,"SE",23.3148915568401
2019,"SE",23.712118882028
2020,"SE",23.8342977836671
2009,"SI",21.2094154220732
2010,"SI",20.9002097500742
2011,"SI",20.8261741567732
2012,"SI",21.0738508559924
2013,"SI",21.6532861445271
2014,"SI",21.126522588222
2015,"SI",21.5211870757201
2016,"SI",21.2355517657039
2017,"SI",21.7242948126294
2018,"SI",21.6510446346224
2019,"SI",21.7388294715768
2020,"SI",21.8612210135606
2009,"SK",22.1461898884967
2010,"SK",22.7453068340819
2011,"SK",21.3612169569723
2012,"SK",21.7541473242855
2013,"SK",22.2978617686083
2014,"SK",22.3652783676003
2015,"SK",21.8992724384086
2016,"SK",22.4247294070993
2017,"SK",21.7986960365581
2018,"SK",22.0089499625248
2019,"SK",21.9677631604924
2020,"SK",22.0757016540977
2009,"UK",25.2487166611121
2010,"UK",25.1769577091238
2011,"UK",25.0707178707821
2012,"UK",25.3931604676441
2013,"UK",25.4210827556399
2014,"UK",25.6859195040288
2015,"UK",25.9800730944275
2016,"UK",25.8172055014875
2017,"UK",25.5378752835967
2018,"UK",25.8771658783588
2019,"UK",30.7686122348725
2020,"UK",28.4199537799673
