"year","country","ted","score","flow_in","flow_out","gdp","edu_index","r3score"
"2015","NO",23.3610494012244,0.028,412,252,60368.9208717485,0.947,0.303658897187566
"2015","PL",24.1074084242516,0.008,1736,1610,26862.052515029,0.863,0.2
"2015","PT",21.4196783760737,0.012,1538,1795,29660.8960672526,0.855,0.228942848510666
"2015","RO",23.1143986641316,0,124,163,21605.8356153117,0.814,0
"2015","SE",22.5695148645982,0.08,570,568,49103.1334338706,0.939,0.430886938006377
"2015","SI",21.5211870757201,0,95,72,31628.247175832,0.894,0
"2015","SK",21.8992724384086,0,35,41,29964.8886109408,0.851,0
"2015","UK",25.9800730944275,1.476,13623,13129,42912.8750936201,0.923,1.1385762466128
"2016","AT",22.0688164943146,0.024,2456,1985,52684.0171130768,0.918,0.288449914061482
"2016","BE",22.7992131287358,0.064,3216,2848,48597.3999826201,0.924,0.4
"2016","BG",21.1857396392034,0,71,53,20074.3553875617,0.81,0
"2016","CH",22.863432945737,0.368,1634,1354,68105.1549836834,0.947,0.716609574203189
"2016","CY",19.5145812864914,0,64,44,35719.15234375,0.873,0
"2016","CZ",22.6933857839402,0.008,1144,1078,36097.7052556977,0.893,0.2
"2016","DE",23.9478369006474,0.252,6224,6533,50579.6839299266,0.941,0.631635959765638
"2016","DK",23.3111592547497,0.044,1083,1123,51976.0057060956,0.935,0.353034833532606
"2016","EE",21.0548335067329,0.004,26,22,31312.7522996878,0.882,0.15874010519682
"2016","EL",19.4459345279916,0.008,1117,1239,27511.8010160972,0.874,0.2
"2016","ES",23.8192703323794,0.064,7135,7248,37286.2134326488,0.899,0.4
"2016","FI",22.1500120310396,0.06,2842,2942,44934.4482077785,0.932,0.391486764116886
"2016","FR",23.7226379188767,0.2,4696,5212,42924.613626021,0.895,0.584803547642573
"2016","HR",21.5967750147378,0,136,125,25210.9829651516,0.841,0
"2016","HU",22.7362670964964,0,548,535,27947.6376911698,0.843,0
"2016","IE",20.7560848201263,0.048,261,252,71498.6010072841,0.943,0.363424118566428
"2016","IS",18.8734661575962,0,226,176,53480.3971946764,0.941,0
"2016","IT",24.4906381404983,0.06,1453,1914,39926.9546628592,0.884,0.391486764116886
"2016","LT",20.6319846781005,0,240,323,30925.1708493589,0.868,0
"2016","LU",18.3989212559906,0,172,80,113365.176082265,0.91,0
"2016","LV",16.5118820941641,0,91,105,26721.7261996962,0.853,0
"2016","MT",18.032371071536,0,60,21,39705.8987211412,0.793273167,0
"2016","NL",22.8132828360285,0.16,804,868,52288.4150841353,0.936,0.542883523318981
"2016","NO",23.1317459525549,0.024,498,429,58939.9126133093,0.95,0.288449914061482
"2016","PL",23.6766656231016,0.008,926,938,28322.1069770901,0.869,0.2
"2016","PT",21.5193836737893,0.016,478,286,31607.7542431733,0.854,0.251984209978975
"2016","RO",22.5026272933781,0,214,172,24271.4700174562,0.82,0
"2016","SE",22.8443299547627,0.08,2815,2129,50430.2528196052,0.939,0.430886938006377
"2016","SI",21.2355517657039,0,15,37,33936.0440637175,0.9,0
"2016","SK",22.4247294070993,0,84,112,29645.7418912454,0.853,0
"2016","UK",25.8172055014875,1.464,14689,14657,44635.2995586517,0.924,1.13548227416909
"2017","AT",22.2912589237933,0.024,715,628,54172.9867888254,0.92,0.288449914061482
"2017","BE",22.519079254567,0.064,2636,2328,50442.2705419624,0.928,0.4
"2017","BG",21.1873081292666,0,59,38,21469.9454411605,0.811,0
"2017","CH",22.5703901352758,0.368,7256,5359,69103.570264696,0.948,0.716609574203189
"2017","CY",18.1237819211821,0,384,279,38287.96875,0.878,0
"2017","CZ",22.4786045059172,0.004,431,262,38824.8879170919,0.896,0.15874010519682
"2017","DE",24.0785391396411,0.22,10502,10191,53071.4555699913,0.943,0.603681073679769
"2017","DK",23.0242850796465,0.044,1056,1021,55356.680780178,0.937,0.353034833532606
"2017","EE",20.9910547317658,0.004,36,24,33821.93290847,0.885,0.15874010519682
"2017","EL",18.287713538231,0.008,260,526,28604.8609402657,0.879,0.2
"2017","ES",23.9385766793753,0.06,2830,2779,39528.9253872668,0.903,0.391486764116886
"2017","FI",22.0413711800026,0.056,956,775,47570.133583848,0.935,0.382586236554478
"2017","FR",23.7164102974873,0.164,4691,4903,44577.0645745394,0.896,0.547370367479843
"2017","HR",21.7549448443434,0,214,281,27154.0846858541,0.845,0
"2017","HU",23.1903399000839,0,429,362,29501.1204204706,0.846,0
"2017","IE",20.5173233510386,0.044,652,444,77749.2019569363,0.947,0.353034833532606
"2017","IS",18.5221590786077,0,71,51,55638.4920591796,0.943,0
"2017","IT",24.3438726196301,0.06,3765,4619,41581.120790548,0.886,0.391486764116886
"2017","LT",21.185064519956,0.004,27,42,33761.871239796,0.873,0.15874010519682
"2017","LU",15.0764103156786,0,101,48,114985.842235989,0.913,0
"2017","LV",14.5931826935939,0,27,46,28673.5633962664,0.859,0
"2017","MT",16.582843117627,0,34,21,43559.3161796569,0.801735896,0
"2017","NL",23.094422140359,0.124,1421,1398,55088.6338006744,0.939,0.498663095223865
"2017","NO",23.0110499589327,0.024,516,384,64050.7561654659,0.954,0.288449914061482
"2017","PL",23.9090952850882,0.008,1355,1166,30064.5034841771,0.873,0.2
"2017","PT",21.4482934795652,0.016,1398,1267,33044.7167387479,0.858,0.251984209978975
"2017","RO",22.7349137442058,0,396,579,27141.9009335846,0.821,0
"2017","SE",22.8826094835922,0.088,1741,1611,51947.9542478244,0.941,0.444796018113863
"2017","SI",21.7242948126294,0,57,52,36507.5530416531,0.907,0
"2017","SK",21.7986960365581,0,81,193,30061.5514717196,0.855,0
"2017","UK",25.5378752835967,1.436,7623,7949,46372.38660351,0.926,1.1281966694287
"2018","AT",22.7646133252742,0.028,2141,1595,56960.0914258929,0.921,0.303658897187566
"2018","BE",22.7435321646563,0.064,1800,1517,52535.23221854,0.93,0.4
"2018","BG",21.2871102914213,0,301,252,23016.090640831,0.814,0
"2018","CH",22.6395956833172,0.368,2165,1722,71660.2068398902,0.954,0.716609574203189
"2018","CY",18.1226084186226,0,129,152,40559.125,0.885,0
"2018","CZ",23.063513983567,0.008,4160,4114,41135.4929835656,0.898,0.2
"2018","DE",24.1827272986322,0.22,10029,10945,55235.366304833,0.946,0.603681073679769
"2018","DK",23.2830568773443,0.044,1121,1436,57482.9623999067,0.938,0.353034833532606
"2018","EE",20.7491192681505,0.004,1293,986,36249.3581462876,0.89,0.15874010519682
