sender;receiver;dist
LU;AT;634444.2013
LV;AT;1261775.259
MT;AT;1301217.606
SE;AT;1653516.934
SI;AT;171628.5816
SK;AT;418568.6869
UK;AT;1345761.706
NL;AT;799029.8572
PL;AT;630916.4884
PT;AT;1974292.689
RO;AT;852773.723
BE;AT;763347.2076
BG;AT;1025256.425
CH;AT;452873.4886
CY;AT;2110882.334
CZ;AT;256175.9773
DE;AT;467859.3408
NO;AT;1828861.917
DK;BE;688640.3086
EE;BE;1618052.216
EL;BE;1865989.752
ES;BE;1308951.467
FI;BE;1963096.812
FR;BE;479330.2526
HR;BE;1070035.459
HU;BE;1139845.954
IE;BE;922827.1602
IS;BE;2082755.388
IT;BE;978256.8715
LT;BE;1386542.511
LU;BE;139170.3283
LV;BE;1490641.353
MT;BE;1815817.474
SE;BE;1485804.217
SI;BE;900191.4431
SK;BE;1084597.168
UK;BE;594842.4057
NL;BE;193398.1201
PL;BE;1034621.106
PT;BE;1568986.844
RO;BE;1590424.239
AT;BE;763347.2076
BG;BE;1788280.559
CH;BE;499020.5467
CY;BE;2872447.467
CZ;BE;766257.0994
DE;BE;402031.2121
NO;BE;1552670.502
DK;BG;1873170.329
EE;BG;1768485.55
EL;BG;429666.1102
ES;BG;2400205.659
FI;BG;2388922.143
FR;BG;1840604.484
HR;BG;752384.9363
HU;BG;673045.7528
IE;BG;2710866.188
IS;BG;3663252.781
IT;BG;1053363.775
LT;BG;1400952.234
LU;BG;1659427.259
LV;BG;1567418.947
MT;BG;1200753.935
SE;BG;2263351.388
SI;BG;907317.9132
SK;BG;799042.6405
UK;BG;2363655.027
NL;BG;1806228.493
PL;BG;1128538.351
PT;BG;2782518.723
RO;BG;342122.987
AT;BG;1025256.425
BE;BG;1788280.559
CH;BG;1414390.885
CY;BG;1099049.891
CZ;BG;1085374.985
DE;BG;1453237.203
NO;BG;2504683.679
DK;CH;1044768.276
EE;CH;1764079.005
EL;CH;1417583.486
ES;CH;1186499.734
FI;CH;2224381.297
FR;CH;435678.7106
HR;CH;662413.0045
HU;CH;847892.1548
IE;CH;1363888.556
IS;CH;2581671.341
IT;CH;485296.9882
LT;CH;1446517.593
LU;CH;366042.655
LV;CH;1593018.074
MT;CH;1318007.675
SE;CH;1809228.533
SI;CH;512168.0306
SK;CH;868007.5442
UK;CH;1078771.363
NL;CH;637211.4175
PL;CH;1001010.395
PT;CH;1529159.869
RO;CH;1290357.167
AT;CH;452873.4886
BE;CH;499020.5467
BG;CH;1414390.885
CY;CH;2458971.586
CZ;CH;621547.9752
DE;CH;496358.159
NO;CH;1929805.7
DK;CY;2961666.471
EE;CY;2677970.966
EL;CY;1064893.397
ES;CY;3267835.753
FI;CY;3278402.931
FR;CY;2861378.708
HR;CY;1808013.632
HU;CY;1772079.832
IE;CY;3794261.08
IS;CY;4751358.389
IT;CY;2026000.596
LT;CY;2362112.55
LU;CY;2739424.678
LV;CY;2501844.595
MT;CY;1704165.725
SE;CY;3261799.383
SI;CY;1975072.437
SK;CY;1891455.933
UK;CY;3455946.885
NL;CY;2901881.521
PL;CY;2190106.941
PT;CY;3647626.028
RO;CY;1383777.626
AT;CY;2110882.334
BE;CY;2872447.467
BG;CY;1099049.891
CH;CY;2458971.586
CZ;CY;2184373.639
DE;CY;2550816.432
NO;CY;3519181.945
DK;CZ;819387.5589
EE;CZ;1200638.664
EL;CZ;1275479.645
ES;CZ;1807905.911
FI;CZ;1732370.887
FR;CZ;1014776.414
HR;CZ;524751.8563
HU;CZ;412350.8395
IE;CZ;1664358.705
IS;CZ;2593413.554
IT;CZ;730561.4037
LT;CZ;849530.4236
LU;CZ;664621.5968
LV;CZ;1011040.863
MT;CZ;1541422.664
SE;CZ;1410241.578
SI;CZ;402774.487
SK;CZ;320443.5439
UK;CZ;1299144.547
NL;CZ;737588.2428
PL;CZ;388053.4898
PT;CZ;2145308.252
RO;CZ;839920.2996
AT;CZ;256175.9773
BE;CZ;766257.0994
BG;CZ;1085374.985
CH;CZ;621547.9752
CY;CZ;2184373.639
DE;CZ;381733.0099
NO;CZ;1597460.256
DK;DE;574961.1541
EE;DE;1299232.446
EL;DE;1597012.869
ES;DE;1600838.843
FI;DE;1730721.32
FR;DE;759335.3694
HR;DE;799856.9041
HU;DE;783847.4541
IE;DE;1282825.866
IS;DE;2268082.24
IT;DE;848234.8536
LT;DE;1021304.991
LU;DE;333085.7198
LV;DE;1146242.398
MT;DE;1714231.121
SE;DE;1314751.127
SI;DE;635512.7476
SK;DE;701600.2362
UK;DE;918060.7692
NL;DE;356425.4713
PL;DE;636582.0197
PT;DE;1902693.177
RO;DE;1221143.591
AT;DE;467859.3408
BE;DE;402031.2121
BG;DE;1453237.203
CH;DE;496358.159
CY;DE;2550816.432
CZ;DE;381733.0099
NO;DE;1447311.746
DK;NO;886452.4264
EE;NO;936210.3014
EL;NO;2812076.344
ES;NO;2823934.468
FI;NO;672060.1204
FR;NO;2029703.487
HR;NO;2121417.324
HU;NO;1923053.899
IE;NO;1670648.076
IS;NO;1465319.039
IT;NO;2278916.202
LT;NO;1164621.287
LU;NO;1624399.39
LV;NO;1052803.303
MT;NO;3129819.448
SE;NO;269399.2887
SI;NO;1993968.965
SK;NO;1755816.144
UK;NO;1412647.087
NL;NO;1360179.489
PL;NO;1386395.164
PT;NO;3013692.791
RO;NO;2170484.51
AT;NO;1828861.917
BE;NO;1552670.502
BG;NO;2504683.679
CH;NO;1929805.7
CY;NO;3519181.945
CZ;NO;1597460.256
DE;NO;1447311.746
