"sender","receiver","year","count"
"PT","PT17","2017","2"
"UKD3","UKI5","2016","23"
"PT11","MZ","2014","4"
"UKI5","BR","1992","7"
"UKD3","UKM7","1997","1"
"DEA2","CN","2012","5"
"FR10","PT16","2013","6"
"US","ES51","2013","9"
"ITH5","CN","2015","3"
"TW","CA","2016","1"
"ITI4","DK05","2005","1"
"PL51","PL41","2014","4"
"IS00","DK01","1980","1"
"UKL2","UKM7","2019","4"
"CH04","SE22","2018","2"
"UKJ1","UKI5","2016","67"
"UKJ3","FI19","2020","1"
"US","BR","2017","14"
"UKD4","KR","2019","1"
"DEA3","DEA2","1975","1"
"UKD7","MW","2009","2"
"FR10","FRH0","2016","17"
"DE","DEF0","2018","4"
"UKF1","UKI5","2014","9"
"PT16","SE","2017","1"
"DK05","DK04","2019","6"
"CA","UKM8","2018","4"
"US","DK01","1995","2"
"UKJ1","UKK2","2020","5"
"CN","DE71","2018","3"
"BR","PT16","2021","31"
"ITG2","ITI4","2019","8"
"UKJ2","NL22","2015","1"
"ES51","FR10","2020","15"
"UKJ1","UKJ3","2016","8"
"ES61","CO","2016","13"
"FR","FRC2","2016","3"
"ITH3","ITC4","2014","6"
"DE13","PT16","2019","1"
"ITI1","UKJ1","2022","1"
"UKD3","CN","2012","5"
"DE50","NO0B","2021","1"
"AT13","IN","2015","3"
"ES51","ES52","2015","12"
"ES61","UKF1","2017","1"
"ITH3","ITC1","2016","1"
"ITC1","MY","2019","1"
"ES51","ES30","2021","25"
"ES52","ES41","2020","10"
"DE50","DE30","2019","3"
"UKK3","UKK4","2018","2"
"UKI5","US","2004","24"
"NL11","PT11","2020","2"
"US","ES52","2012","1"
"ITG1","RS","2017","1"
"FR10","UKH1","2015","5"
"CL","ES52","2020","6"
"SA","FRE2","2011","1"
"PT11","TR","2019","3"
"ES61","MT00","2015","1"
"UKI5","UKG1","2015","25"
"UKJ2","ES51","2016","1"
"DE30","CH01","2018","3"
"GB","UKC2","2016","2"
"DE50","CN","2020","2"
"PT11","US","2018","12"
"UKE3","SE22","2017","1"
"MX","UKJ1","1990","1"
"BE10","ES51","2020","6"
"ES51","ES61","2018","22"
"UKJ1","PT20","2020","1"
"BG41","AU","1992","1"
"ZA","UKI5","2020","13"
"UKD3","UKE4","2021","3"
"BG41","BG33","2020","1"
"NO08","UA","2018","2"
"UKK1","ES51","2016","5"
"SA","DE13","2019","3"
"US","LK","2021","1"
"AO","PT16","2020","6"
"FRJ2","FRK2","2016","5"
"AU","UKI5","2021","17"
"PL41","PL91","2009","3"
"PT16","PT17","2014","34"
"US","CH01","2020","42"
"RO21","IE06","2017","1"
"DEA3","DE60","2018","2"
"DEA1","DEA5","2017","5"
"CA","DE91","2021","2"
"ES","ES30","2016","4"
"PT16","AE","2017","3"
"ZM","NL41","2011","1"
"UKI5","AU","2017","43"
"IN","DEA2","2019","12"
"UKD3","UKI5","2018","31"
"ES61","ES51","2017","18"
"UKI5","UKM8","2017","18"
"EL30","EL51","2012","4"
"FR10","FRE1","2005","4"
"NZ","DE71","2019","1"
"CH03","US","2019","20"
"UKM8","UKJ2","2018","7"
"ES30","ES61","2020","68"
"ITC4","DK","2016","1"
"US","DK01","2019","32"
"UKM8","UKJ1","2016","5"
"BE21","EC","2017","1"
"FRK1","TR","2015","1"
"IE05","NZ","2013","1"
"IR","BE23","2003","2"
"FR10","AR","1970","1"
"UKC2","UKG1","2018","7"
"CN","UKE4","2019","20"
"ITI1","NO06","2016","2"
"KZ","UKL2","2019","1"
"UKM5","ZW","2012","1"
"MX","ES24","2019","4"
