sender;receiver;dist
NL11;BE32;360012.1345
NL12;BE32;315851.2699
NL13;BE32;323581.6866
NL21;BE32;278902.8069
NL22;BE32;224626.6347
NL23;BE32;254207.2634
NL31;BE32;200150.7474
NL32;BE32;254601.8038
NL33;BE32;169117.3339
NL34;BE32;124902.0689
NL41;BE32;147124.4891
NL42;BE32;157791.7707
IS00;BE32;2078045.081
ITC1;BE32;665047.4233
ITC2;BE32;580775.1046
ITC3;BE32;769840.9969
ITC4;BE32;686735.584
ITF1;BE32;1182985.422
ITF2;BE32;1266767.164
ITF3;BE32;1350632.609
ITF4;BE32;1430220.831
ITF5;BE32;1445150.471
ITF6;BE32;1585381.884
ITG1;BE32;1640025.674
ITG2;BE32;1218864.148
ITH1;BE32;684490.1661
ITH2;BE32;711184.1115
ITH3;BE32;789618.449
UKC1;BE32;609249.4956
UKC2;BE32;669477.594
UKD1;BE32;655581.9691
UKD3;BE32;550956.7085
UKD4;BE32;588718.9964
RO11;BE32;1452533.604
RO12;BE32;1601458.441
RO21;BE32;1694997.055
RO22;BE32;1863568.765
RO31;BE32;1755966.881
RO32;BE32;1779093.58
RO41;BE32;1605572.734
RO42;BE32;1429139.083
SE11;BE32;1344546.249
SE12;BE32;1241679.457
SE21;BE32;1040514.846
SE22;BE32;907620.0449
SE23;BE32;1024820.533
SE31;BE32;1318398.334
SE32;BE32;1567625.76
SE33;BE32;1952769.418
SI03;BE32;956710.8035
SI04;BE32;890536.9698
SK01;BE32;979197.4914
SK02;BE32;1037734.344
SK03;BE32;1118571.697
SK04;BE32;1245312.443
DEB1;BE32;248421.1797
DEB2;BE32;197226.4093
DEB3;BE32;300303.2809
DEC0;BE32;238471.6593
DED2;BE32;713757.6938
DED4;BE32;621728.8905
DED5;BE32;613792.4881
DEE0;BE32;561410.056
DEF0;BE32;568963.2166
DEG0;BE32;494395.0359
DK01;BE32;815117.054
DK02;BE32;749800.6445
PL63;BE32;1032328.028
PL71;BE32;1081377.921
PL72;BE32;1180371.429
UKD6;BE32;544823.284
UKD7;BE32;576919.7325
UKE1;BE32;485109.4059
UKE2;BE32;555800.1297
UKE3;BE32;499900.5335
UKE4;BE32;535808.6869
UKF1;BE32;477283.3812
UKF2;BE32;414171.6888
UKF3;BE32;417877.7978
UKG1;BE32;472709.3304
UKG2;BE32;512696.738
UKG3;BE32;471968.6763
UKH1;BE32;320627.7963
UKH2;BE32;345868.7536
UKH3;BE32;290779.1174
UKI0;BE32;317762.2728
UKJ1;BE32;385209.9271
UKJ2;BE32;306888.5239
UKJ3;BE32;381589.1989
UKJ4;BE32;251542.8435
UKK1;BE32;447579.4565
UKL2;BE32;549011.9044
UKM5;BE32;871510.6178
UKM6;BE32;939183.4984
UKM7;BE32;835598.3583
UKM8;BE32;826531.4097
UKM9;BE32;753025.9339
UKN0;BE32;856135.2349
HR05;BE32;1025658.527
HR06;BE32;1031744.754
NO02;BE32;1283082.595
NO06;BE32;1540758.932
NO07;BE32;2212860.166
NO08;BE32;1133092.429
NO09;BE32;999614.522
NO0A;BE32;1194100.024
NO0B;BE32;3159531.707
BE31;BE33;83872.50142
BE32;BE33;121645.7253
BE34;BE33;63564.73894
CH05;BE33;485208.0231
CH06;BE33;441554.8916
CH07;BE33;521924.2603
CY00;BE33;2798591.605
CZ01;BE33;620711.8475
