"nuts2","year","n_res"
"AT21",2013,163
"AT22",2013,1244
"AT31",2013,445
"AT32",2013,354
"AT33",2013,863
"AT34",2013,37
"BE10",2013,2438
"BE21",2013,1129
"BE22",2013,350
"BE23",2013,2406
"BE24",2013,2981
"BE25",2013,117
"BE31",2013,690
"BE32",2013,166
"BE33",2013,597
"BE34",2013,6
"BE35",2013,212
"BG31",2013,50
"BG32",2013,158
"BG33",2013,265
"BG34",2013,66
"BG41",2013,1386
"BG42",2013,303
"CH01",2013,4497
"CH02",2013,1829
"CH03",2013,1454
"CH04",2013,3939
"CH05",2013,246
"CH06",2013,189
"CH07",2013,237
"CY00",2013,1161
"CZ01",2013,4320
"CZ02",2013,80
"CZ03",2013,503
"CZ04",2013,59
"CZ05",2013,497
"CZ06",2013,1666
"CZ07",2013,864
"CZ08",2013,340
"DE11",2013,1146
"DE12",2013,3111
"DE13",2013,1354
"DE14",2013,1420
"DE21",2013,3824
"DE22",2013,73
"DE23",2013,324
"DE24",2013,472
"DE25",2013,994
"DE26",2013,552
"DE27",2013,187
"DE30",2013,4258
"DE40",2013,1101
"DE50",2013,1117
"DE60",2013,1625
"DE71",2013,1777
"DE72",2013,792
"DE73",2013,250
"DE80",2013,573
"DE91",2013,1834
"DE92",2013,982
"DE93",2013,0
"DE94",2013,463
"DEA1",2013,1192
"DEA2",2013,3748
"DEA3",2013,464
"DEA4",2013,520
"DEA5",2013,1359
"DEB1",2013,49
"DEB2",2013,134
"DEB3",2013,1106
"DEC0",2013,441
"DED2",2013,1351
"DED4",2013,340
"DED5",2013,895
"DEE0",2013,810
"DEF0",2013,1234
"DEG0",2013,1016
"DK01",2013,6264
"DK02",2013,668
"DK03",2013,1375
"DK04",2013,2202
"DK05",2013,787
"EE00",2013,1026
"EL30",2013,3049
"EL41",2013,151
"EL42",2013,0
"EL43",2013,698
"EL51",2013,309
"EL52",2013,1750
"EL53",2013,68
"EL54",2013,347
"EL61",2013,295
"EL62",2013,52
"EL63",2013,881
"EL64",2013,40
"EL65",2013,48
"ES11",2013,3747
"ES12",2013,1330
"ES13",2013,587
"ES21",2013,3043
"ES22",2013,1139
"ES23",2013,329
"ES24",2013,1719
"ES30",2013,16453
"ES41",2013,4131
"ES42",2013,1209
"ES43",2013,895
"ES51",2013,17484
"ES52",2013,6560
"ES53",2013,545
"ES61",2013,11685
"ES62",2013,1623
"ES63",2013,20
"ES64",2013,21
"ES70",2013,1326
"FI19",2013,2017
"FI1B",2013,3627
"FI1C",2013,1301
