nuts2;year;flow_in;flow_out;gdp;score;ted;edu_index
BG33;2019;380;229;18929.98471;0;19.27146271;0.75
BG33;2020;2;3;18702.4696;0;19.11938762;0.774894733
BG34;2009;1;0;11865.86412;0;18.95764124;0.69
BG34;2010;2;0;12317.10709;0;18.84803996;0.699
BG34;2011;1;2;12935.10585;0;19.11272104;0.707
BG34;2012;6;8;13794.2372;0;19.5413318;0.711
BG34;2013;0;1;14063.85023;0;19.82727441;0.723
BG34;2014;2;1;14974.3762;0;19.36673719;0.729
BG34;2015;13;27;15230.81494;0;19.62919484;0.732
BG34;2016;4;2;17712.66652;0;19.7286914;0.727
BG34;2017;1;0;18858.73586;0;19.27580206;0.721
BG34;2018;4;1;18988.27478;0;19.05746324;0.713
BG34;2019;69;102;18651.60258;0;19.63837457;0.711
BG34;2020;23;0;17306.76291;0;20.11437716;0.75175209
BG41;2009;10;9;24021.13957;0;21.82400637;0.816
BG41;2010;14;12;25514.00754;0;19.69362249;0.825
BG41;2011;115;228;26432.6076;0;19.87074701;0.83
BG41;2012;10;17;26462.41423;0;20.03951615;0.833
BG41;2013;84;66;26979.63106;0;20.42756722;0.848
BG41;2014;28;27;28187.06109;0;19.73103225;0.861
BG41;2015;14;12;29886.88214;0;20.62552803;0.866
BG41;2016;17;14;32473.22195;0;20.03611665;0.867
BG41;2017;21;16;34816.12774;0;20.17884535;0.864
BG41;2018;185;144;37113.44616;0;20.33253854;0.862
BG41;2019;65;88;41200.55495;0;20.50318161;0.867
BG41;2020;114;103;41312.91792;0;22.48331206;0.882895078
BG42;2009;12;15;10129.3962;0;18.83397489;0.721
BG42;2010;4;1;10557.52036;0;17.65268879;0.731
BG42;2011;3;3;10966.72018;0;17.87072624;0.736
BG42;2012;2;4;11542.11684;0;18.4814344;0.739
BG42;2013;12;12;11767.71142;0;19.83508494;0.753
BG42;2014;4;9;11744.60879;0;19.51621848;0.76
BG42;2015;35;102;12931.824;0;19.16823884;0.766
BG42;2016;11;5;14170.13321;0;19.67046548;0.759
BG42;2017;24;13;15086.98869;0;19.21088569;0.757
BG42;2018;5;21;16111.26345;0;19.7592999;0.75
BG42;2019;3;4;17259.69194;0;19.69137227;0.752
BG42;2020;11;15;17865.04559;0;19.72140649;0.765960076
CH01;2009;25;29;52287.00455;0.068;19.20731115;0.89
CH01;2010;170;159;53932.08589;0.068;20.73823343;0.895
CH01;2011;33;29;56442.48865;0.068;20.11762097;0.899
