"sender","receiver","year","ted_send","score_send","gdp_send","edu_send","r3score_send","ted_rec","score_rec","gdp_rec","edu_rec","r3score_rec","dist","count"
"NL","BG",2009,21.2172404897985,0.164,44556.9211528341,0.912,0.547370367479843,21.9858266266886,0,14181.1546844467,0.782,0,1806228.493,0
"NL","BG",2010,21.7359930493682,0.144,45043.9042332404,0.917,0.524148278841779,20.3684528444712,0,14956.4871777211,0.787,0,1806228.493,0
"NL","BG",2011,21.8257423934517,0.136,46599.02103045,0.928,0.514256318131647,20.6592626167871,0,15747.0853813627,0.791,0,1806228.493,0
"NL","BG",2012,22.0314315452667,0.148,47272.1030187972,0.929,0.528957247269421,21.0009431571572,0,16327.8726078533,0.795,0,1806228.493,0
"NL","BG",2013,21.8296057754383,0.172,49241.5178406305,0.93,0.556129776652124,21.4980846008797,0,16647.0063974042,0.801,0,1806228.493,0
"NL","BG",2014,22.2636965801563,0.192,49233.2153954401,0.932,0.576899828122963,21.0563088946773,0,17616.913178474,0.806,0,1806228.493,3
"NL","BG",2015,22.7257663768372,0.192,50288.5913949377,0.935,0.576899828122963,21.3946979104669,0,18391.9274727456,0.809,0,1806228.493,1
"NL","BG",2016,22.8132828360285,0.16,52288.4150841353,0.936,0.542883523318981,21.1857396392034,0,20074.3553875617,0.81,0,1806228.493,2
"NL","BG",2017,23.094422140359,0.124,55088.6338006744,0.939,0.498663095223865,21.1873081292666,0,21469.9454411605,0.811,0,1806228.493,4
"NL","BG",2018,23.2525022340684,0.124,57826.6284976675,0.941,0.498663095223865,21.2871102914213,0,23016.090640831,0.814,0,1806228.493,0
"NL","BG",2019,27.7350226043696,0.136,59004.3249664016,0.944,0.514256318131647,21.4376939990374,0,24497.6272661983,0.816,0,1806228.493,0
"NL","BG",2020,23.4997897211768,0.144,59266.9085805339,0.948729755766629,0.524148278841779,22.7081777710629,0,24564.4376812432,0.823840357693823,0,1806228.493,1
"NL","CH",2009,21.2172404897985,0.164,44556.9211528341,0.912,0.547370367479843,20.9450288931073,0.208,53354.0046402285,0.935,0.592499213681474,637211.4175,5
"NL","CH",2010,21.7359930493682,0.144,45043.9042332404,0.917,0.524148278841779,21.5157901224618,0.196,54858.4480758362,0.941,0.58087857335637,637211.4175,0
"NL","CH",2011,21.8257423934517,0.136,46599.02103045,0.928,0.514256318131647,21.434734379991,0.196,57987.5020305492,0.941,0.58087857335637,637211.4175,2
"NL","CH",2012,22.0314315452667,0.148,47272.1030187972,0.929,0.528957247269421,21.3311284898808,0.208,59933.5986829168,0.944,0.592499213681474,637211.4175,0
"NL","CH",2013,21.8296057754383,0.172,49241.5178406305,0.93,0.556129776652124,21.744989288924,0.268,62225.087267788,0.946,0.644730572726691,637211.4175,6
"NL","CH",2014,22.2636965801563,0.192,49233.2153954401,0.932,0.576899828122963,22.3219438960426,0.268,64103.0104476336,0.942,0.644730572726691,637211.4175,17
"NL","CH",2015,22.7257663768372,0.192,50288.5913949377,0.935,0.576899828122963,21.9764368037435,0.268,66020.2043398841,0.948,0.644730572726691,637211.4175,18
"NL","CH",2016,22.8132828360285,0.16,52288.4150841353,0.936,0.542883523318981,22.863432945737,0.368,68105.1549836834,0.947,0.716609574203189,637211.4175,21
"NL","CH",2017,23.094422140359,0.124,55088.6338006744,0.939,0.498663095223865,22.5703901352758,0.368,69103.570264696,0.948,0.716609574203189,637211.4175,24
"NL","CH",2018,23.2525022340684,0.124,57826.6284976675,0.941,0.498663095223865,22.6395956833172,0.368,71660.2068398902,0.954,0.716609574203189,637211.4175,43
